scene,draw,t_start,t_end,min_gap,contact_acquired,obj_dxy,obj_dyaw,productive
icra_sign,draw0,0.1,2.1,0.0176,False,0.0,0.0,False
icra_sign,draw0,4.1,8.6,-0.0,True,0.212,0.95,True
icra_sign,draw0,10.5,13.1,-0.0001,True,0.1058,0.384,True
icra_sign,draw0,14.1,17.2,-0.0,True,0.0503,1.163,True
icra_sign,draw0,19.3,22.7,-0.0,True,0.0913,1.19,True
icra_sign,draw0,24.5,25.1,-0.0,True,0.0224,0.514,True
icra_sign,draw0,26.4,28.4,0.0,True,0.063,0.558,True
icra_sign,draw1,0.1,2.1,0.0146,False,0.0,0.0,False
icra_sign,draw1,4.1,8.9,-0.0,True,0.1944,0.896,True
icra_sign,draw1,10.6,14.4,0.0,True,0.0843,1.309,True
icra_sign,draw1,16.5,20.3,0.0,True,0.1095,1.331,True
icra_sign,draw1,22.1,22.6,0.0,True,0.0131,0.368,True
icra_sign,draw1,24.0,25.8,-0.0,True,0.141,0.248,True
icra_sign,draw2,0.1,2.1,0.0169,False,0.0,0.0,False
icra_sign,draw2,4.2,8.8,-0.0,True,0.2077,1.004,True
icra_sign,draw2,10.5,15.0,-0.0,True,0.1332,1.684,True
icra_sign,draw2,17.1,20.7,0.0,True,0.0532,0.918,True
icra_sign,draw2,22.5,23.8,0.0,True,0.1379,0.284,True
icra_sign,draw2,25.2,27.7,0.0002,True,0.1649,0.226,True
icra_sign,draw2,28.9,30.0,0.0,True,0.0407,0.691,True
icra_sign,draw2,31.4,33.5,0.0002,True,0.0043,0.068,False
icra_sign,draw2,34.4,36.1,0.0146,False,0.0,0.0,False
icra_sign,draw2,37.6,40.2,0.0004,True,0.0003,0.005,False
icra_sign,draw2,41.3,43.5,0.0007,True,0.0003,0.005,False
icra_sign,draw2,44.8,47.3,0.0004,True,0.0001,0.002,False
icra_sign,draw2,48.6,50.4,0.0005,True,0.0,0.001,False
icra_sign,draw2,52.2,53.9,-0.0,True,0.0182,0.154,True
