scene,tag,start_off,push,min_pusher_obj_gap,contact_dur_s,obj_dxy,obj_dyaw,min_obj_obstacle,min_pusher_obstacle,contact_acquired
push_t_bt010_ycb_clutter,ycb_north_push_south,0.000;0.090,0.000;-0.060,-0.0,0.7,0.00486,0.0002,0.03259,0.07727,True
push_t_bt010_ycb_clutter,ycb_probe_long,0.000;0.110,0.000;-0.120,-3e-05,1.2,0.04489,0.0067,0.00732,0.04382,True
push_t_bt010_icra_sign,icra_north_push_south,0.000;0.110,0.000;-0.120,-3e-05,1.2,0.04489,0.0067,,,True
anything_icra_c,icra_c_translation_south,0.000;0.120,0.000;-0.100,0.00327,0.0,0.0,0.0,0.1002,0.13107,False
anything_icra_c,icra_c_translation_south,0.000;0.120,0.000;-0.100,-1e-05,1.4,0.04265,0.0859,0.1002,0.13048,True
anything_icra_c,icra_c_rotation_offset,0.065;0.120,0.000;-0.100,-0.0,1.3,0.00018,0.0019,0.10012,0.06114,True
anything_icra_c,icra_c_mixed_east,-0.120;0.000,0.100;0.000,-3e-05,1.4,0.03963,0.0015,0.06064,0.16277,True
anything_icra_c,icra_c_rotation_offset45,0.045;0.120,0.000;-0.100,-3e-05,1.4,0.02897,0.3344,0.0919,0.07985,True
anything_icra_c,icra_c_translation_mu03,0.000;0.120,0.000;-0.100,-1e-05,1.4,0.04718,0.0923,0.0995,0.13024,True
anything_icra_c,icra_c_rotation_mu03,0.045;0.120,0.000;-0.100,-2e-05,1.4,0.02963,0.3121,0.09585,0.0805,True
anything_icra_c,icra_c_mixed_mu03,-0.120;0.000,0.100;0.000,-4e-05,1.4,0.03585,0.0028,0.06421,0.16649,True
