scene,frame_a,frame_b,min_signed_distance,penetrating
push_t_bt010_icra_sign,ground::ground/ground,push_t_oimscale_m01::vertical_link/crossbar_collision,-0.0,False
push_t_bt010_icra_sign,ground::ground/ground,push_t_oimscale_m01::horizontal_link/stem_collision,-0.0,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere_3,panda::panda_link4/Sphere_4,0.04683,False
push_t_bt010_icra_sign,panda::panda_link6/Sphere_2,end_effector_full::end_effector_flange/Cylinder,0.04826,False
push_t_bt010_icra_sign,panda::panda_link3/Sphere_2,panda::panda_link5/Sphere,0.04865,False
push_t_bt010_icra_sign,panda::panda_link6/Sphere_2,end_effector_full::end_effector_peg/Cylinder,0.06183,False
push_t_bt010_icra_sign,panda::panda_link5/Sphere_11,end_effector_full::end_effector_flange/Cylinder,0.07417,False
push_t_bt010_icra_sign,end_effector_full::end_effector_tip/Sphere,ground::ground/ground,0.08281,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_2,platform::platform/Box,0.083,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_5,panda::panda_link3/Sphere,0.08895,False
push_t_bt010_icra_sign,panda::panda_link5/Sphere_11,panda::panda_link8/Sphere,0.09196,False
push_t_bt010_icra_sign,panda::panda_link5/Sphere_11,end_effector_full::end_effector_peg/Cylinder,0.09344,False
push_t_bt010_icra_sign,panda::panda_link0/Sphere_12,panda::panda_link2/Sphere,0.1,False
push_t_bt010_icra_sign,panda::panda_link1/Sphere_2,ground::ground/ground,0.112,False
push_t_bt010_icra_sign,end_effector_full::end_effector_peg/Cylinder,ground::ground/ground,0.11745,False
push_t_bt010_icra_sign,end_effector_full::end_effector_tip/Sphere,push_t_oimscale_m01::vertical_link/crossbar_collision,0.13855,False
push_t_bt010_icra_sign,end_effector_full::end_effector_peg/Cylinder,push_t_oimscale_m01::vertical_link/crossbar_collision,0.15098,False
push_t_bt010_icra_sign,panda::panda_link2/Sphere_3,panda::panda_link5/Sphere,0.1563,False
push_t_bt010_icra_sign,panda::panda_link6/Sphere_2,end_effector_full::end_effector_tip/Sphere,0.15888,False
push_t_bt010_icra_sign,panda::panda_link4/Sphere_6,panda::panda_link6/Sphere_3,0.16018,False
