model,body,floating,n_collision,n_visual,collision_shapes,mass,com,friction,x,y,z,rpy,static
WorldModelInstance,world,False,0,0,,nan,0.0000;0.0000;0.0000,,0.0,0.0,0.0,0.000;-0.000;0.000,True
panda,panda_link0,False,14,1,Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere,2.92,-0.0256;-0.0000;0.0573,1.000/1.000,0.0,0.0,0.0,0.000;-0.000;0.000,True
panda,panda_link1,False,6,1,Sphere;Sphere;Sphere;Sphere;Sphere;Sphere,2.74,0.0000;-0.0325;-0.0676,1.000/1.000,0.0,0.0,0.333,0.000;-0.000;2.191,True
panda,panda_link2,False,6,1,Sphere;Sphere;Sphere;Sphere;Sphere;Sphere,2.74,0.0000;-0.0686;0.0322,1.000/1.000,0.0,0.0,0.333,-1.571;1.100;2.191,True
panda,panda_link3,False,5,1,Sphere;Sphere;Sphere;Sphere;Sphere,2.38,0.0470;0.0316;-0.0317,1.000/1.000,-0.1637,0.2292,0.4763,-1.088;0.214;0.731,True
panda,panda_link4,False,7,1,Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere,2.38,-0.0360;0.0337;0.0319,1.000/1.000,-0.1037,0.283,0.4588,-0.474;0.235;-1.599,True
panda,panda_link5,False,12,1,Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere;Sphere,2.74,0.0000;0.0610;-0.1042,1.000/1.000,0.2413,0.3944,0.3077,-3.125;1.111;-3.033,True
panda,panda_link6,False,5,1,Sphere;Sphere;Sphere;Sphere;Sphere,1.55,0.0511;0.0091;0.0106,1.000/1.000,0.2413,0.3944,0.3077,1.564;0.010;0.094,True
panda,panda_link7,False,2,1,Sphere;Sphere,0.54,0.0110;0.0108;0.0650,1.000/1.000,0.3289,0.4027,0.3068,3.134;0.010;0.014,True
panda,panda_link8,False,1,0,Sphere,0.0,0.0000;0.0000;0.0000,1.000/1.000,0.3279,0.4018,0.1998,3.134;0.010;0.014,True
end_effector_full,end_effector_flange,False,1,1,Cylinder,0.07793,0.0000;0.0000;-0.0048,1.000/1.000,0.3279,0.4018,0.1998,-0.008;0.010;0.014,True
end_effector_full,end_effector_peg,False,1,1,Cylinder,0.13407,0.0000;0.0000;-0.0508,1.000/1.000,0.3278,0.4018,0.1902,-0.008;0.010;0.014,True
end_effector_full,end_effector_tip,False,1,1,Sphere,0.057,0.0000;0.0000;0.0000,1.000/1.000,0.3267,0.4008,0.0733,-0.008;0.010;0.014,True
ground,ground,False,1,1,Box,1.0,0.0000;0.0000;0.0000,1.000/1.000,0.0,0.0,-0.029,0.000;-0.000;0.000,True
platform,platform,False,1,1,Box,0.0,0.0000;0.0000;0.0000,1.000/1.000,0.0,0.0,-0.0145,0.000;-0.000;0.000,True
push_t_oimscale_m01,vertical_link,True,1,1,Box,0.05285,0.0000;0.0099;0.0000,1.000/1.000,0.5,0.3,0.0008,0.000;-0.000;0.000,False
push_t_oimscale_m01,horizontal_link,False,1,1,Box,0.04715,0.0000;0.0000;0.0000,1.000/1.000,0.5,0.2603,0.0008,0.000;-0.000;0.000,True
scene_ycb_clutter,clutter_cube,False,1,1,Box,1.0,0.0000;0.0000;0.0000,1.000/1.000,0.5,0.0,0.021,0.000;-0.000;0.000,True
scene_ycb_clutter,sugar_box,False,1,1,Box,1.0,0.0000;0.0000;0.0000,1.000/1.000,0.37,0.2,0.001,0.000;-0.000;0.000,True
